AllocationYear,Cluster,BeneficiariesActualTotal,BeneficiariesPlannedTotal,Budgetbycluster,AllocationSourceName
2014,Water Sanitation Hygiene,16602,24600,250512.7,Standard
2014,Water Sanitation Hygiene,49923,72000,401194,Standard
2014,Water Sanitation Hygiene,3350,10830,300000,Standard
2014,Multi-Sector,,0,1439131,Reserve
2014,Multi-Sector,,0,103939.8,Reserve
2014,Multi-Sector,1400,1400,642000,Reserve
2014,Multi-Sector,,0,479574,Reserve
2014,Health,3275,6400,495723.09,Reserve
2014,Health,598827,1040000,153750,Reserve
2014,Water Sanitation Hygiene,15456,15456,199999.98,Reserve
2014,Water Sanitation Hygiene,20520,12444,205868.48,Reserve
2014,Water Sanitation Hygiene,78129,78129,200000,Reserve
2014,Water Sanitation Hygiene,45984,45300,70331,Reserve
2014,Education,4753,1369,378312.11,Standard
2014,Education,1064,2766,355761.25,Standard
2014,Education,1099,2365,292448.71,Standard
2014,Education,3468,3814,400000,Standard
2014,Multi-Sector,6000000,6000000,198693.65,Standard
2014,Multi-Sector,0,0,149999.36,Standard
2014,Multi-Sector,0,0,249994.01,Standard
2014,Multi-Sector,,0,100000,Standard
2014,Multi-Sector,,160,99999,Standard
2014,Multi-Sector,,4000,1000000,Standard
2014,Multi-Sector,7502654,7502654,350000,Standard
2014,Multi-Sector,800000,800000,250000,Standard
2014,Multi-Sector,,580000,96835,Standard
2014,Food Security,80,960,246196.78,Standard
2014,Food Security,7606,7800,300000,Standard
2014,Food Security,0,2820,300000,Standard
2014,Food Security,480,9870,300000,Standard
2014,Food Security,3827,3600,400000,Standard
2014,Food Security,7860,9000,800000.34,Standard
2014,Food Security,1236,1200,350000,Standard
2014,Food Security,4200,4584,850000,Standard
2014,Food Security,9918,5376,850000,Standard
2014,Health,77631,207000,298219.28,Standard
2014,Health,24352,135000,300000,Standard
2014,Health,15888,44917,299942,Standard
2014,Health,54774,79080,298590.53,Standard
2014,Health,7679,22130,206884.84,Standard
2014,Health,7503,16847,148514.96,Standard
2014,Health,0,116110,671966.88,Standard
2014,Health,10394,7312,660000,Standard
2014,Health,30994,49400,365000,Standard
2014,Health,420109,420109,648861,Standard
2014,Multi-Sector,2977,9798,362811.31,Standard
2014,Multi-Sector,3040,3910,408175.04,Standard
2014,Multi-Sector,600,900,125342.2,Standard
2014,Nutrition,0,12006,299033.97,Standard
2014,Nutrition,202,720,211307.67,Standard
2014,Nutrition,1480,3802,258617,Standard
2014,Nutrition,2929,1736,250229.3,Standard
2014,Nutrition,120,120,240843.28,Standard
2014,Nutrition,3141,6282,150039,Standard
2014,Nutrition,665,2000,185665.83,Standard
2014,Nutrition,785,2078,146859,Standard
2014,Nutrition,1024,3779,134539.95,Standard
2014,Nutrition,2100,4170,202247.12,Standard
2014,Nutrition,6500,13000,750000.34,Standard
2014,Nutrition,0,8897,1499259.4,Standard
2014,Protection,954,5284,461483.96,Standard
2014,Protection,2606,1432,374781.38,Standard
2014,Protection,852,1130,453316.2,Standard
2014,Protection,4211,16000,285691.61,Standard
2014,Emergency Shelter and NFI,11379,18000,191710.83,Standard
2014,Emergency Shelter and NFI,20077,21298,801086.24,Standard
2014,Emergency Shelter and NFI,8655,15497,689015.42,Standard
2014,Water Sanitation Hygiene,0,9001,163809.08,Standard
2014,Water Sanitation Hygiene,2530,26088,633060.15,Standard
2014,Water Sanitation Hygiene,25000,50000,653799,Standard
2014,Water Sanitation Hygiene,16547,29200,596262.32,Standard
2014,Water Sanitation Hygiene,13910,15500,426203,Standard
2014,Water Sanitation Hygiene,1430,44000,763340.08,Standard
2014,Water Sanitation Hygiene,0,20000,100000,Standard
2014,Water Sanitation Hygiene,0,96000,480189,Standard
2014,Logistics,,0,489621.3,Reserve
2014,Logistics,,0,1000000,Reserve
2014,Logistics,,0,189439.41,Reserve
2014,Logistics,,0,85011.5,Reserve
2014,Logistics,,0,415909,Reserve
2014,Logistics,,0,1439131,Reserve
2014,Logistics,,0,103939.8,Reserve
2014,Logistics,,0,642000,Reserve
2014,Logistics,,0,479574,Reserve
2014,Logistics,,0,1000000,Reserve
2014,Food Security,,282000,1000000,Reserve
2014,Food Security,,16200,3300000,Reserve
2014,Food Security,,188812,900000,Reserve
2014,Food Security,,12000,1002105.74,Reserve
2014,Health,,648120,146250.81,Reserve
2014,Health,,598827,153750,Reserve
2014,Health,,78292,400000,Reserve
2014,Health,,4296,449998.68,Reserve
2014,Health,,15000,600000,Reserve
2014,Health,,0,199995,Reserve
2014,Health,,0,449945,Reserve
2014,Nutrition,,60093,779999,Reserve
2014,Nutrition,,10688,1220000,Reserve
2014,Emergency Shelter and NFI,,60000,317000,Reserve
2014,Water Sanitation Hygiene,,99096,401194,Reserve
2014,Water Sanitation Hygiene,,10830,300000,Reserve
2014,Logistics,,0,100000,Standard
2014,Logistics,,0,99999,Standard
2014,Logistics,,0,96835,Standard
2014,Logistics,,800000,250000,Standard
2014,Logistics,,7502654,350000,Standard
2014,Logistics,,0,1000000,Standard
2014,Food Security,,51156,850000,Standard
2014,Food Security,,1236,350000,Standard
2014,Food Security,,9918,850000,Standard
2014,Health,,65592,365000,Standard
2014,Health,,13031,660000,Standard
2014,Health,,420109,648861,Standard
2014,Health,,0,671966.88,Standard
2014,Nutrition,,8832,1499259.4,Standard
2014,Nutrition,,6500,750000.34,Standard
2014,Water Sanitation Hygiene,,48000,763340.08,Standard
2014,Water Sanitation Hygiene,,14000,100000,Standard
2014,Water Sanitation Hygiene,,116400,480189,Standard
2015,Multi-Sector,,875000,388700,Reserve
2015,Water Sanitation Hygiene,46800,26400,300000,Reserve
2015,Education,5124,5520,586380.01,Standard
2015,Education,2326,3129,273996.19,Standard
2015,Education,2623,2637,298103.11,Standard
2015,Education,2709,3725,253977.11,Standard
2015,Education,2164,2157,277919.3,Standard
2015,Education,3674,3342,289999.48,Standard
2015,Multi-Sector,0,80,149995.02,Standard
2015,Multi-Sector,2000000,2000000,350000,Standard
2015,Multi-Sector,7502654,7502654,499999.98,Standard
2015,Multi-Sector,,6000,997066.09,Standard
2015,Food Security,3150,3150,347890.92,Standard
2015,Food Security,4800,4800,249979.14,Standard
2015,Food Security,0,5400,343341.07,Standard
2015,Food Security,3503,3300,299448.34,Standard
2015,Food Security,11816,8475,350000,Standard
2015,Food Security,8000,8000,249977.3,Standard
2015,Food Security,1950,1950,249552.98,Standard
2015,Food Security,7974,7974,300000.18,Standard
2015,Food Security,17000,17000,1349999.95,Standard
2015,Food Security,11159,8682,400000,Standard
2015,Food Security,439182,238500,1350000,Standard
2015,Health,92358,74676,198850.93,Standard
2015,Health,33146,28854,196069.39,Standard
2015,Health,41092,39433,250000,Standard
2015,Health,25089,26280,199988.02,Standard
2015,Health,308,296,247617.99,Standard
2015,Health,37394,5600,174734.32,Standard
2015,Health,14860,16400,240000,Standard
2015,Health,10470,9495,159576.22,Standard
2015,Health,87454,63600,299807.43,Standard
2015,Health,175000,157600,1124949.84,Standard
2015,Health,23686,19504,749914.85,Standard
2015,Health,70000,80000,899917.9,Standard
2015,Multi-Sector,2659,2820,525451.14,Standard
2015,Nutrition,1136,1050,292632.12,Standard
2015,Nutrition,4847,4732,299999.54,Standard
2015,Nutrition,50667,14848,199966.42,Standard
2015,Nutrition,12080,8646,299991.15,Standard
2015,Nutrition,16270,5832,276262.23,Standard
2015,Nutrition,7145,6759,299221.52,Standard
2015,Nutrition,10215,5813,281253.41,Standard
2015,Nutrition,4346,3464,299937.12,Standard
2015,Nutrition,3383,2550,299487.37,Standard
2015,Nutrition,4299,4299,232484.25,Standard
2015,Nutrition,5169,4887,147519.83,Standard
2015,Nutrition,,7232,599999.95,Standard
2015,Nutrition,18583,14323,1149999.47,Standard
2015,Protection,491,220,147281.23,Standard
2015,Protection,2294,1590,397111.41,Standard
2015,Protection,26429,12500,198143.67,Standard
2015,Protection,2855,1690,199995.16,Standard
2015,Protection,4866,5125,399905.21,Standard
2015,Protection,6651,152520,450000,Standard
2015,Protection,,92760,400000,Standard
2015,Emergency Shelter and NFI,4430,4200,399537.24,Standard
2015,Emergency Shelter and NFI,18598,19620,200000,Standard
2015,Emergency Shelter and NFI,10990,12012,299978.72,Standard
2015,Emergency Shelter and NFI,15109,17244,399642.18,Standard
2015,Emergency Shelter and NFI,1330,1320,349909.35,Standard
2015,Emergency Shelter and NFI,1800,1800,150000,Standard
2015,Emergency Shelter and NFI,,90000,191316,Standard
2015,Water Sanitation Hygiene,23861,16500,397953.77,Standard
2015,Water Sanitation Hygiene,21001,21001,248544.29,Standard
2015,Water Sanitation Hygiene,11040,10915,299999.8,Standard
2015,Water Sanitation Hygiene,16482,16310,400000,Standard
2015,Water Sanitation Hygiene,24048,24048,300000,Standard
2015,Water Sanitation Hygiene,14406,14406,300000,Standard
2015,Water Sanitation Hygiene,12700,12700,249257.14,Standard
2015,Water Sanitation Hygiene,34267,30030,649999.94,Standard
2015,Water Sanitation Hygiene,0,17638,299677.45,Standard
2015,Water Sanitation Hygiene,14000,14000,299824.65,Standard
2015,Water Sanitation Hygiene,14081,14081,699970.61,Standard
2015,Water Sanitation Hygiene,75000,75000,199999.75,Standard
2015,Water Sanitation Hygiene,0,14800,300000.16,Standard
2015,Water Sanitation Hygiene,182450,162000,649979.2,Standard
2015,Water Sanitation Hygiene,,0,300000,Reserve
2016,Education,1461,2055,300000,Reserve
2016,Education,1404,2332,299317.47,Reserve
2016,Multi-Sector,,87500,280424.53,Reserve
2016,Multi-Sector,,120,1705619.59,Reserve
2016,Multi-Sector,840,840,246966.17,Reserve
2016,Multi-Sector,4,4,250000,Reserve
2016,Food Security,6186,5700,249999.94,Reserve
2016,Food Security,7561,5604,400000,Reserve
2016,Food Security,3563,3680,249873.67,Reserve
2016,Food Security,4200,4200,300000,Reserve
2016,Food Security,2586,2220,199433.83,Reserve
2016,Food Security,282246,18198,800000,Reserve
2016,Food Security,,33480,1300001.15,Reserve
2016,Food Security,7800,7800,300000.08,Reserve
2016,Health,29902,43222,253678.28,Reserve
2016,Health,13364,14197,197341.68,Reserve
2016,Health,12215,13089,169917.2,Reserve
2016,Health,35161,60000,249077.34,Reserve
2016,Health,11754,10355,200000,Reserve
2016,Health,85955,26400,150000.04,Reserve
2016,Logistics,,4000,1000000,Reserve
2016,Nutrition,33217,27021,430295.19,Reserve
2016,Nutrition,2235,2550,250705.68,Reserve
2016,Nutrition,7135,3000,215894.76,Reserve
2016,Nutrition,673,347,37146.12,Reserve
2016,Protection,1935,990,200000,Reserve
2016,Protection,6713,4924,200000.66,Reserve
2016,Protection,1010,1000,99974.38,Reserve
2016,Protection,2172,1580,134422.07,Reserve
2016,Emergency Shelter and NFI,30000,30000,500118,Reserve
2016,Emergency Shelter and NFI,24000,24000,400372.6,Reserve
2016,Water Sanitation Hygiene,17753,13000,200000,Reserve
2016,Water Sanitation Hygiene,16800,12000,199999.05,Reserve
2016,Water Sanitation Hygiene,30467,22933,245330.79,Reserve
2016,Water Sanitation Hygiene,36601,44625,287243.8,Reserve
2016,Water Sanitation Hygiene,10215,10020,243884.31,Reserve
2016,Water Sanitation Hygiene,15000,15000,245807.36,Reserve
2016,Water Sanitation Hygiene,50000,50000,247855.57,Reserve
2016,Water Sanitation Hygiene,0,12000,200000.33,Reserve
2016,Water Sanitation Hygiene,12800,12500,300032.92,Reserve
2016,Education,8432,7500,149958.06,Reserve
2016,Water Sanitation Hygiene,8432,7500,149958.06,Reserve
2016,Education,9770,10299,514490.25,Reserve
2016,Education,1729,1729,200000,Reserve
2016,Education,2401,2346,285000.06,Reserve
2016,Education,3896,3696,279999.08,Reserve
2016,Multi-Sector,10000,10000,300000,Reserve
2016,Multi-Sector,84,80,149999.7,Reserve
2016,Multi-Sector,,1000,119658.28,Reserve
2016,Multi-Sector,4680000,4680000,500000,Reserve
2016,Food Security,3672,3672,349371.15,Reserve
2016,Food Security,4200,4200,249999.49,Reserve
2016,Food Security,5224,5025,300000.4,Reserve
2016,Food Security,2020,1800,224048.8,Reserve
2016,Food Security,285,285,300000,Reserve
2016,Food Security,1018,178,229999.73,Reserve
2016,Food Security,3120,3120,180000,Reserve
2016,Food Security,9386,7740,400000,Reserve
2016,Food Security,27087,23100,900000.01,Reserve
2016,Food Security,870,870,209271.33,Reserve
2016,Food Security,,4060,500001.07,Reserve
2016,Food Security,2940,2940,229892.5,Reserve
2016,Health,26738,27380,185000,Reserve
2016,Health,74492,41525,190000,Reserve
2016,Health,28848,26986,184087.08,Reserve
2016,Health,20365,20365,180000,Reserve
2016,Health,10688,9495,214990.49,Reserve
2016,Health,36644,35000,220080.94,Reserve
2016,Health,24960,24960,75348.42,Reserve
2016,Health,8154,11000,44760.7,Reserve
2016,Health,26796,28800,190000,Reserve
2016,Nutrition,21443,10344,199133.3,Reserve
2016,Nutrition,83093,31501,300000.3,Reserve
2016,Nutrition,10310,6000,278519.32,Reserve
2016,Nutrition,5490,5704,99949.08,Reserve
2016,Nutrition,30759,17250,199999.71,Reserve
2016,Nutrition,2990,2600,150000,Reserve
2016,Nutrition,27960,26325,200000,Reserve
2016,Nutrition,4579,4064,99998.73,Reserve
2016,Nutrition,5428,3700,170001.51,Reserve
2016,Nutrition,105428,191250,800000.48,Reserve
2016,Protection,8860,4280,99531.42,Reserve
2016,Protection,2690,2000,103830.03,Reserve
2016,Protection,4203,1390,175000.08,Reserve
2016,Protection,27000,14730,400001.78,Reserve
2016,Protection,5610,5704,100004.16,Reserve
2016,Protection,4313,2887,170000.19,Reserve
2016,Protection,10314,9288,250000,Reserve
2016,Protection,3000,3000,69500,Reserve
2016,Protection,3500,3520,99991.5,Reserve
2016,Protection,11059,12320,100090.41,Reserve
2016,Protection,4914,2500,129999.65,Reserve
2016,Emergency Shelter and NFI,1808,1620,222342.15,Reserve
2016,Emergency Shelter and NFI,20480,19212,242326.82,Reserve
2016,Emergency Shelter and NFI,5436,5400,250000,Reserve
2016,Emergency Shelter and NFI,5929,5400,250000.15,Reserve
2016,Emergency Shelter and NFI,1200,1200,198074,Reserve
2016,Emergency Shelter and NFI,3000,3000,223848.26,Reserve
2016,Emergency Shelter and NFI,5400,5400,250095.38,Reserve
2016,Emergency Shelter and NFI,5400,5400,250038.67,Reserve
2016,Education,17002.5,14061,225000.22,Reserve
2016,Water Sanitation Hygiene,17002.5,14061,225000.22,Reserve
2016,Education,11974.5,10850,225000.02,Reserve
2016,Water Sanitation Hygiene,11974.5,10850,225000.02,Reserve
2016,Water Sanitation Hygiene,29352,15110,292895.26,Reserve
2016,Water Sanitation Hygiene,26628,21148,199121.63,Reserve
2016,Water Sanitation Hygiene,16412,13712,350000,Reserve
2016,Water Sanitation Hygiene,9419,9419,394864,Reserve
2016,Water Sanitation Hygiene,8969,5000,118000.62,Reserve
2016,Water Sanitation Hygiene,15000,15000,200209.58,Reserve
2016,Water Sanitation Hygiene,11450,11450,250064.53,Reserve
2016,Water Sanitation Hygiene,10344,10344,249845.71,Reserve
2017,Camp Coordination / Management,15630,8100,297834.84,Reserve
2017,Education,5579.7,5579.7,98001.12,Reserve
2017,Food Security,13949.25,13949.25,245002.81,Reserve
2017,Health,7971,7971,140001.61,Reserve
2017,Nutrition,5978.25,5978.25,105001.2,Reserve
2017,Water Sanitation Hygiene,6376.8,6376.8,112001.28,Reserve
2017,Education,665.72,570.56,21999.99,Reserve
2017,Food Security,2829.31,2424.88,93499.94,Reserve
2017,Health,4493.61,3851.28,148499.91,Reserve
2017,Nutrition,3827.89,3280.72,126499.92,Reserve
2017,Water Sanitation Hygiene,4826.47,4136.56,159499.9,Reserve
2017,Education,6271.32,2812.8,102000.05,Reserve
2017,Food Security,11497.42,5156.8,187000.09,Reserve
2017,Health,10974.81,4922.4,178500.08,Reserve
2017,Nutrition,14110.47,6328.8,229500.11,Reserve
2017,Water Sanitation Hygiene,9406.98,4219.2,153000.07,Reserve
2017,Education,1771.35,2967.37,31238.59,Reserve
2017,Food Security,3542.7,5934.74,62477.18,Reserve
2017,Health,3542.7,5934.74,62477.18,Reserve
2017,Nutrition,12905.55,21619.41,227595.46,Reserve
2017,Water Sanitation Hygiene,3542.7,5934.74,62477.18,Reserve
2017,Education,4050.9,4050,53994.23,Reserve
2017,Food Security,15753.5,15750,209977.57,Reserve
2017,Health,9902.2,9900,131985.9,Reserve
2017,Nutrition,4951.1,4950,65992.95,Reserve
2017,Water Sanitation Hygiene,10352.3,10350,137985.26,Reserve
2017,Education,4670.82,4207.5,65957.44,Reserve
2017,Food Security,7218.54,6502.5,101934.22,Reserve
2017,Health,3184.65,2868.75,44970.98,Reserve
2017,Nutrition,2972.34,2677.5,41972.92,Reserve
2017,Water Sanitation Hygiene,3396.96,3060,47969.05,Reserve
2017,Education,840.84,768,32998.63,Reserve
2017,Food Security,6446.44,5888,252989.48,Reserve
2017,Health,2522.52,2304,98995.88,Reserve
2017,Nutrition,2522.52,2304,98995.88,Reserve
2017,Water Sanitation Hygiene,1681.68,1536,65997.26,Reserve
2017,Education,1210.56,1778.01,50309.73,Reserve
2017,Food Security,2886.72,4239.87,119969.36,Reserve
2017,Health,1489.92,2188.32,61919.67,Reserve
2017,Nutrition,651.84,957.39,27089.85,Reserve
2017,Water Sanitation Hygiene,3072.96,4513.41,127709.31,Reserve
2017,Education,3000,3737.7,29960.31,Reserve
2017,Food Security,13500,16819.65,134821.37,Reserve
2017,Health,5700,7101.63,56924.58,Reserve
2017,Nutrition,3000,3737.7,29960.31,Reserve
2017,Water Sanitation Hygiene,4800,5980.32,47936.49,Reserve
2017,Multi-Sector,4400000,4400000,203832.43,Reserve
2017,Multi-Sector,300,300,99061.35,Reserve
2017,Multi-Sector,10000,10000,199999.98,Reserve
2017,Multi-Sector,73,80,199999.33,Reserve
2017,Multi-Sector,6244000,6244000,650000,Reserve
2017,Multi-Sector,,10000,106004.9,Reserve
2017,Multi-Sector,,134,1569134.67,Reserve
2017,Multi-Sector,,1500,250000.02,Reserve
2017,Education,1307.61,1800,67498.53,Reserve
2017,Food Security,6392.76,8800,329992.8,Reserve
2017,Health,2615.22,3600,134997.05,Reserve
2017,Nutrition,1307.61,1800,67498.53,Reserve
2017,Water Sanitation Hygiene,2905.8,4000,149996.73,Reserve
2017,Education,2040,2040,167667.81,Reserve
2017,Food Security,6960,6960,572043.1,Reserve
2017,Water Sanitation Hygiene,3000,3000,246570.3,Reserve
2017,Education,1389.3,1510.41,241737.31,Reserve
2017,Food Security,1389.3,1510.41,241737.31,Reserve
2017,Water Sanitation Hygiene,1389.3,1510.41,241737.31,Reserve
2017,Food Security,16721.2,39168.34,237779.91,Reserve
2017,Health,12786.8,29952.26,181831.7,Reserve
2017,Nutrition,6885.2,16128.14,97909.38,Reserve
2017,Water Sanitation Hygiene,12786.8,29952.26,181831.7,Reserve
2017,Education,285.15,3399.6,51653.05,Reserve
2017,Food Security,380.2,4532.8,68870.73,Reserve
2017,Health,570.3,6799.2,103306.09,Reserve
2017,Nutrition,285.15,3399.6,51653.05,Reserve
2017,Water Sanitation Hygiene,380.2,4532.8,68870.73,Reserve
2017,Health,107447,135405,549999.98,Reserve
2017,Health,448433,445514,999999.53,Reserve
2017,Health,6189.48,6666,103443.83,Reserve
2017,Nutrition,6189.48,6666,103443.83,Reserve
2017,Water Sanitation Hygiene,6189.48,6666,103443.83,Reserve
2017,Health,5345.34,5260.2,127213.47,Reserve
2017,Nutrition,5345.34,5260.2,127213.47,Reserve
2017,Water Sanitation Hygiene,5345.34,5260.2,127213.47,Reserve
2017,Health,8144.73,8085,129831.53,Reserve
2017,Nutrition,8144.73,8085,129831.53,Reserve
2017,Water Sanitation Hygiene,8144.73,8085,129831.53,Reserve
2017,Health,4962.21,5100.48,124372.06,Reserve
2017,Nutrition,4962.21,5100.48,124372.06,Reserve
2017,Water Sanitation Hygiene,4962.21,5100.48,124372.06,Reserve
2017,Health,13914.12,11315.37,123923.62,Reserve
2017,Nutrition,13914.12,11315.37,123923.62,Reserve
2017,Water Sanitation Hygiene,14335.76,11658.26,127678.88,Reserve
2017,Emergency Shelter and NFI,4982.12,13686.92,207810.73,Reserve
2017,Protection,4598.88,12634.08,191825.28,Reserve
2017,Protection,11001,3360,285073.25,Reserve
2017,Protection,5335,5440,316899.76,Reserve
2017,Protection,4023,4010,367353.26,Reserve
2017,Protection,1740,1720,236810.8,Reserve
2017,Protection,5440,4134,314999.12,Reserve
2017,Camp Coordination / Management,8583.25,6587.5,326342.54,Reserve
2017,Emergency Shelter and NFI,8583.25,6587.5,326342.54,Reserve
2017,Protection,8583.25,6587.5,326342.54,Reserve
2017,Water Sanitation Hygiene,8583.25,6587.5,326342.54,Reserve
2017,Emergency Shelter and NFI,18000,18000,326221.71,Reserve
2017,Emergency Shelter and NFI,19247,15000,455693.07,Reserve
2017,Emergency Shelter and NFI,15300,15300,298591.2,Reserve
2017,Emergency Shelter and NFI,11400,11400,290186.03,Reserve
2017,Emergency Shelter and NFI,5400,5400,300096.05,Reserve
2017,Food Security,29840.3,8400,175033.17,Reserve
2017,Water Sanitation Hygiene,55417.7,15600,325061.6,Reserve
2017,Water Sanitation Hygiene,19373,20116,323763.81,Reserve
2017,Education,2542,2341,315964,Standard
2017,Education,4036,3143,314778,Standard
2017,Education,5949,3625,349999.58,Standard
2017,Education,7892,4263,350047.38,Standard
2017,Education,1925,1620,172970.85,Standard
2017,Education,3456,3885,403340.31,Standard
2017,Education,1915,1863,259905.44,Standard
2017,Education,1022,1111,169067.74,Standard
2017,Education,3675,3593,349839.5,Standard
2017,Education,2659,2676,202386.29,Standard
2017,Education,3558,2658,241613.54,Standard
2017,Food Security,6000,6000,271729.71,Standard
2017,Food Security,4200,4200,300000,Standard
2017,Food Security,4218,4218,322935.89,Standard
2017,Food Security,4380,4200,300024.5,Standard
2017,Food Security,3222,3222,300000,Standard
2017,Food Security,5600,5600,515536.42,Standard
2017,Food Security,8226,7200,461115.94,Standard
2017,Food Security,7600,6000,299882.44,Standard
2017,Food Security,7665,6300,277059.92,Standard
2017,Food Security,,6000,192244.76,Standard
2017,Food Security,10920,11110,370256.59,Standard
2017,Food Security,18720,18720,326210.9,Standard
2017,Food Security,13881,13881,325972.77,Standard
2017,Food Security,14400,14400,361841.9,Standard
2017,Food Security,2220,2220,265219.64,Standard
2017,Food Security,152040,17148,465240.62,Standard
2017,Health,66507,70622,178724.8,Standard
2017,Health,146955,154914,204985.92,Standard
2017,Health,44040,65969,565874.58,Standard
2017,Health,66418,45763,369265.34,Standard
2017,Health,22242,22000,149995.64,Standard
2017,Health,66664,60000,199814.26,Standard
2017,Health,18370,17820,148808.27,Standard
2017,Health,57785,32526,200000.64,Standard
2017,Health,14000,14000,193894.86,Standard
2017,Health,30000,30000,199734.89,Standard
2017,Health,21262,21000,195735.15,Standard
2017,Health,52751,50960,399471.17,Standard
2017,Health,34850,52080,396878.18,Standard
2017,Nutrition,26156,25381,205749.06,Standard
2017,Nutrition,10655,8422,92709.62,Standard
2017,Nutrition,1304,1000,209361.4,Standard
2017,Nutrition,14424,6307,189886.41,Standard
2017,Nutrition,5063,4833,201175,Standard
2017,Nutrition,6894,5554,151596.05,Standard
2017,Nutrition,7269,6927,190000.03,Standard
2017,Nutrition,31346,18499,240000,Standard
2017,Nutrition,8158,8100,190156.76,Standard
2017,Nutrition,19877,9080,170551.05,Standard
2017,Nutrition,5710,5245,184093.5,Standard
2017,Nutrition,4388,3838,183301.39,Standard
2017,Nutrition,5335,5035,211079.97,Standard
2017,Nutrition,9550,10938,177325.96,Standard
2017,Nutrition,11734,5555,185976.7,Standard
2017,Nutrition,5639,5121,189236.57,Standard
2017,Nutrition,3726,3370,180645.96,Standard
2017,Nutrition,3007,3440,229979.81,Standard
2017,Nutrition,5775,5550,174956.25,Standard
2017,Protection,7733,5235,390000.45,Standard
2017,Protection,10737,6678,250000.02,Standard
2017,Protection,4649,3991,200593.86,Standard
2017,Protection,23455,6634,662493.05,Standard
2017,Protection,26780,18080,636196.5,Standard
2017,Protection,3718,3714,462553.55,Standard
2017,Protection,5849,4335,210000.19,Standard
2017,Protection,1118,1352,199954.14,Standard
2017,Protection,2477,3000,99948.7,Standard
2017,Protection,2374,3053,199501.48,Standard
2017,Protection,1381,1380,99954.05,Standard
2017,Protection,2393,1534,159900.8,Standard
2017,Protection,1598,1280,149945.84,Standard
2017,Emergency Shelter and NFI,14555,10800,225000,Standard
2017,Emergency Shelter and NFI,10800,10800,224645.32,Standard
2017,Water Sanitation Hygiene,27079,17400,293508.6,Standard
2017,Water Sanitation Hygiene,9333,9000,348830.02,Standard
2017,Water Sanitation Hygiene,11124,11124,228371.54,Standard
2017,Water Sanitation Hygiene,31367,24357,330806.48,Standard
2017,Water Sanitation Hygiene,56790,56790,500000,Standard
2017,Water Sanitation Hygiene,29325,27000,300000,Standard
2017,Water Sanitation Hygiene,18003,18000,298861.92,Standard
2017,Water Sanitation Hygiene,11400,11100,300577.8,Standard
2017,Water Sanitation Hygiene,12300,12000,249991.38,Standard
2017,Water Sanitation Hygiene,104340,33000,419416.32,Standard
2017,Water Sanitation Hygiene,40710,40678,248937.51,Standard
2017,Water Sanitation Hygiene,29274,29274,446930.68,Standard
2017,Water Sanitation Hygiene,12240,12000,270123,Standard
2017,Water Sanitation Hygiene,20238,19748,300069.3,Standard
2017,Water Sanitation Hygiene,15000,15000,249663.34,Standard
2017,Water Sanitation Hygiene,12600,12600,248835.24,Standard
2017,Water Sanitation Hygiene,15400,15400,248617.71,Standard
2017,Camp Coordination / Management,3215,5508,283726.26,Standard
2017,Emergency Shelter and NFI,6430,11016,567452.51,Standard
2017,Protection,3215,5508,283726.26,Standard
2017,Education,1192,4247,142935.99,Standard
2017,Food Security,1430.4,5096.4,171523.19,Standard
2017,Health,715.2,2548.2,85761.59,Standard
2017,Nutrition,715.2,2548.2,85761.59,Standard
2017,Water Sanitation Hygiene,715.2,2548.2,85761.59,Standard
2017,Education,2041.05,3750,138795.96,Standard
2017,Food Security,4082.1,7500,277591.92,Standard
2017,Health,2721.4,5000,185061.28,Standard
2017,Nutrition,2721.4,5000,185061.28,Standard
2017,Water Sanitation Hygiene,2041.05,3750,138795.96,Standard
2017,Education,1233.12,5670,94847.18,Standard
2017,Food Security,293.6,1350,22582.66,Standard
2017,Health,1879.04,8640,144529.04,Standard
2017,Nutrition,1526.72,7020,117429.85,Standard
2017,Water Sanitation Hygiene,939.52,4320,72264.52,Standard
2017,Education,7528,5569,400000.24,Standard
2017,Education,2567,4250,113681.7,Standard
2017,Food Security,2265,3750,100307.38,Standard
2017,Health,3473,5750,153804.65,Standard
2017,Nutrition,302,500,13374.32,Standard
2017,Water Sanitation Hygiene,6493,10750,287547.82,Standard
2017,Education,981,2000,118891.06,Standard
2017,Food Security,981,2000,118891.06,Standard
2017,Health,981,2000,118891.06,Standard
2017,Nutrition,981,2000,118891.06,Standard
2017,Water Sanitation Hygiene,981,2000,118891.06,Standard
2017,Food Security,803,4818,384221.77,Standard
2017,Food Security,8509,8162,419000.22,Standard
2017,Food Security,3900,3900,199948.01,Standard
2017,Food Security,1800,1800,200169.9,Standard
2017,Education,1480.4,7493.6,67294.53,Standard
2017,Food Security,740.2,3746.8,33647.26,Standard
2017,Health,1850.5,9367,84118.16,Standard
2017,Nutrition,1850.5,9367,84118.16,Standard
2017,Water Sanitation Hygiene,1480.4,7493.6,67294.53,Standard
2017,Health,3578.52,11536.14,198000.03,Standard
2017,Nutrition,3253.2,10487.4,180000.02,Standard
2017,Water Sanitation Hygiene,4012.28,12934.46,222000.03,Standard
2017,Health,13386.14,9010,101991.12,Standard
2017,Nutrition,12992.43,8745,98991.38,Standard
2017,Water Sanitation Hygiene,12992.43,8745,98991.38,Standard
2017,Health,1782,2970,140386.46,Standard
2017,Nutrition,2178,3630,171583.46,Standard
